"","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","stdP","stdVPD","fdsi"
"84","SS452",1979,35.5320598449707,38.7735,8.0155,3.57043538316166,23.3945,0.572595761010719,-0.125939761388727,0.322468401222404
"85","SS452",1980,36.3220004844665,41.8278,8.6437,3.59242363163441,25.23575,0.657252002508834,0.960212140963382,-0.248527917835607
"86","SS452",1981,24.3331993217468,39.2701,10.0902,3.19184164513964,24.68015,-0.88501569700886,0.632464145337133,-0.743586828072693
"87","SS452",1982,40.1193001937866,40.7617,6.7438,3.69185752011475,23.75275,1.0400791879811,0.0853916270797822,0.409815531547004
"88","SS452",1983,42.8853605232239,32.2301,6.495,3.75853052115122,19.36255,1.29677474443443,-2.50438384159978,1.97303583884703
"89","SS452",1984,49.9363993701935,32.3452,6.779,3.91075018313729,19.5621,1.88283072255487,-2.38666945620162,2.16498041339705
"90","SS452",1985,26.9443197383881,31.8326,6.2226,3.2937725047646,19.0276,-0.492575004008068,-2.70197057870383,1.2963705223106
"91","SS452",1986,40.6628595542908,33.6166,10.1556,3.70531513416531,21.8861,1.09189191087553,-1.01574371495719,1.04924892116126
"92","SS452",1987,23.1368599479198,36.0929,7.3914,3.14142701454216,21.74215,-1.07911542933578,-1.10065970482471,0.141558645794098
"93","SS452",1988,31.727140021801,42.2433,8.0054,3.45717246670136,25.12435,0.136525883934076,0.894497370062081,-0.440847138303772
"94","SS452",1989,39.1032997093201,41.6923,7.8956,3.66620685497327,24.79395,0.94132239498343,0.699594674318898,0.022408836174126
"95","SS452",1990,23.9623600387573,37.043,8.819,3.17648426750994,22.931,-0.944142637975029,-0.399358040677366,-0.191782257929688
"96","SS452",1991,24.820879825592,40.3118,9.7824,3.21168522739928,25.0471,-0.808616565261695,0.848927656847308,-0.831190776549639
"97","SS452",1992,28.1762200775146,38.2608,9.3015,3.33847836253803,23.78115,-0.320454432570182,0.102144764365216,-0.198201018375401
"98","SS452",1993,42.4002205619812,42.7076,6.597,3.7471535641579,24.6523,1.25297269171824,0.616035452611808,0.206328130893412
"99","SS452",1994,20.0456797771454,38.0279,10.8563,2.99801365807348,24.4421,-1.63126653651981,0.492038640731613,-0.993298914878421
"100","SS452",1995,43.2460403003693,42.0038,9.2794,3.7669056754379,25.6416,1.32901965401673,1.199622731361,-0.0870200817947976
"101","SS452",1996,43.2409609107971,41.5862,9.7292,3.76678821525297,25.6577,1.32856742437262,1.20912010848408,-0.0925375940271324
"102","SS452",1997,39.8348193750381,41.6,9.9642,3.6847413884939,25.7821,1.01268160068469,1.28250356898786,-0.272622094331941
"103","SS452",1998,41.752520029068,38.6327,7.9172,3.73175980945295,23.27495,1.19370569655581,-0.196462210771589,0.635249344516644
"104","SS452",1999,23.5356397190094,36.1014,10.5367,3.15851585608596,23.31905,-1.01332223537365,-0.170447656043157,-0.350411096180237
"105","SS452",2000,30.8533799467087,39.5781,9.2305,3.42924630502133,24.4043,0.0290082755975603,0.469740450964382,-0.250291011277127
"106","SS452",2001,23.6905798740387,38.891,7.1711,3.16507749545824,23.03105,-0.988059480679426,-0.340338625698231,-0.244156541107938
"107","SS452",2002,32.199580116272,44.7688,7.7709,3.47195341259801,26.26985,0.193433523801272,1.57022690388114,-0.794216315700879
"108","SS452",2003,24.9072396221161,39.0542,9.8444,3.21515850908784,24.4493,-0.795244196208191,0.496285914972988,-0.627827558716478
"109","SS452",2004,28.6562801647186,43.6062,8.9117,3.35537262209631,26.25895,-0.255410392392557,1.56379700259906,-0.988106894108196
"110","SS452",2005,40.7543001937866,34.9163,7.0503,3.70756136034726,20.9833,1.10054003336488,-1.54830471288983,1.35128825389885
"111","SS452",2006,43.3349396705627,37.6424,8.0502,3.7689592304211,22.8463,1.3369259793797,-0.449322502933562,0.839868032569865
"112","SS452",2007,25.5117598934174,38.9698,9.3937,3.239139518148,24.18175,-0.702915691876378,0.338458383961823,-0.498819599444227
"113","SS452",2008,29.3573199806213,38.9571,7.6542,3.37954191826593,23.30565,-0.162356969974185,-0.178352305325718,0.0284402241937609
